Date,Forecast
2024-08-14,207.27394
2024-08-15,206.6046
2024-08-16,212.96275
2024-08-19,217.83925
2024-08-20,223.68027
2024-08-21,225.13057
2024-08-22,226.35721
2024-08-23,218.93852
2024-08-26,220.75728
2024-08-27,218.45712
2024-08-28,214.64534
2024-08-29,210.83934
2024-08-30,209.63193
2024-09-03,214.2613
2024-09-04,214.92827
2024-09-05,219.98615
2024-09-06,229.30197
2024-09-09,221.44981
2024-09-10,219.23224
2024-09-11,225.15201
2024-09-12,230.02147
2024-09-13,232.92932
2024-09-16,234.04515
2024-09-17,231.9195
2024-09-18,231.31174
2024-09-19,230.87059
2024-09-20,241.49957
2024-09-23,243.4868
2024-09-24,250.7072
2024-09-25,256.79086
2024-09-26,260.5464
2024-09-27,259.50122
2024-09-30,262.6389
2024-10-01,265.04572
2024-10-02,263.32486
2024-10-03,256.09805
2024-10-04,247.38876
2024-10-07,250.5479
2024-10-08,247.1794
2024-10-09,247.69502
2024-10-10,246.06775
2024-10-11,243.67073
2024-10-14,229.09361
2024-10-15,223.04729
2024-10-16,222.10364
2024-10-17,223.67311
2024-10-18,224.457
2024-10-21,224.53175
2024-10-22,223.23685
2024-10-23,221.92065
2024-10-24,218.695
2024-10-25,246.75958
2024-10-28,268.5908
2024-10-29,270.90015
2024-10-30,266.33807
2024-10-31,262.14233
2024-11-01,255.54527
2024-11-04,252.66751
2024-11-05,248.32991
2024-11-06,252.60371
2024-11-07,280.82004
2024-11-08,299.95807
2024-11-11,322.32547
2024-11-12,350.59177
2024-11-13,340.76483
2024-11-14,334.21396
2024-11-15,317.92493
2024-11-18,320.79898
2024-11-19,338.44354
2024-11-20,350.75546
2024-11-21,349.57855
2024-11-22,345.24356
2024-11-25,353.91812
2024-11-26,345.8139
2024-11-27,341.9191
2024-11-29,337.2708
2024-12-02,346.146
2024-12-03,359.3985
2024-12-04,357.98242
2024-12-05,360.9719
2024-12-06,371.2574
2024-12-09,390.48154
2024-12-10,395.2427
2024-12-11,403.57227
2024-12-12,425.59415
2024-12-13,424.03983
2024-12-16,437.05746
2024-12-17,464.13348
2024-12-18,483.6898
2024-12-19,446.71265
2024-12-20,434.05496
2024-12-23,422.0515
2024-12-24,430.79248
2024-12-26,463.28995
2024-12-27,460.97906
2024-12-30,435.25912
2024-12-31,416.9554
2025-01-02,404.02185
2025-01-03,382.3809
2025-01-06,406.7111
2025-01-07,415.65408
2025-01-08,400.27133
2025-01-10,395.5405
2025-01-13,395.53198
2025-01-14,403.75198
2025-01-15,399.9273
2025-01-16,426.1768
2025-01-17,419.9761
2025-01-21,426.81863
2025-01-22,426.52692
2025-01-23,417.81305
2025-01-24,413.7265
2025-01-27,408.9422
2025-01-28,400.38794
2025-01-29,400.0175
2025-01-30,393.1227
