ARIMA,SARIMA,LSTM
143.75,146.04431360693474,221.61676
143.75,146.04431360693474,226.48589
143.75,146.0443136069367,229.23618
143.75,146.04431360678407,230.21945
143.75,146.04431360675173,227.94582
143.75,146.04431360668065,227.3449
143.75,146.04431360667326,226.88972
143.75,146.04431360674224,237.865
143.75,146.04431360660413,239.59001
143.75,146.04431360651964,246.88445
143.75,146.0443136064686,252.98103
143.75,146.04431360647928,256.65994
143.75,146.0443136063878,255.43077
143.75,146.04431360638335,258.63397
143.75,146.0443136062349,260.9703
143.75,146.04431360623207,258.99628
143.75,146.04431360608177,251.45757
143.75,146.04431360605471,242.57423
143.75,146.04431360588194,246.05821
143.75,146.04431360592633,242.51295
143.75,146.04431360603837,243.0793
143.75,146.04431360605508,241.46844
143.75,146.04431360586963,239.11984
143.75,146.04431360593776,224.21011
143.75,146.04431360589717,218.38681
143.75,146.04431360593063,217.75305
143.75,146.04431360601313,219.49039
143.75,146.04431360600182,220.29892
143.75,146.04431360605557,220.40822
143.75,146.04431360605975,219.15388
143.75,146.04431360604548,217.91449
143.75,146.04431360615726,214.67702
143.75,146.04431360612392,243.93498
143.75,146.0443136061041,265.71298
143.75,146.04431360618096,267.24512
143.75,146.044313606308,262.36017
143.75,146.0443136063089,258.16745
143.75,146.04431360631213,251.36981
143.75,146.0443136063194,248.33679
143.75,146.04431360631241,243.70332
143.75,146.04431360630963,248.06143
143.75,146.0443136063123,277.09103
143.75,146.04431360631045,296.07004
143.75,146.04431360631443,318.61652
143.75,146.04431360631642,347.41357
143.75,146.044313606318,336.4008
143.75,146.04431360632458,329.60602
143.75,146.0443136063235,312.68927
143.75,146.04431360631642,315.56055
143.75,146.0443136063166,333.24948
143.75,146.04431360631656,345.05347
143.75,146.04431360631767,343.36148
143.75,146.04431360631028,339.088
143.75,146.04431360631028,348.41528
143.75,146.0443136063102,339.8198
143.75,146.0443136063168,335.8078
143.75,146.04431360631818,331.0841
143.75,146.04431360632125,340.32092
143.75,146.04431360632157,353.80157
143.75,146.04431360631858,351.94205
143.75,146.04431360632455,355.09415
143.75,146.04431360632822,365.7907
143.75,146.04431360633043,385.3836
143.75,146.04431360632998,389.48822
143.75,146.04431360633393,397.6821
143.75,146.04431360633413,420.22314
143.75,146.04431360634055,417.36243
143.75,146.04431360634067,430.44373
143.75,146.04431360634717,458.18402
143.75,146.04431360634834,477.21497
143.75,146.04431360635581,436.56052
143.75,146.04431360635388,424.13702
143.75,146.04431360634902,412.13742
143.75,146.0443136063483,421.23718
143.75,146.04431360635633,455.18494
143.75,146.04431360635337,452.10623
143.75,146.04431360635513,425.4852
143.75,146.04431360635368,407.6358
143.75,146.0443136063501,394.89203
143.75,146.04431360635058,372.61072
143.75,146.04431360634825,398.56232
143.75,146.04431360634808,407.77045
143.75,146.0443136063487,391.7711
143.75,146.04431360634388,387.76498
143.75,146.04431360634533,388.32373
143.75,146.04431360634618,396.79318
143.75,146.04431360634285,392.3683
143.75,146.04431360633737,419.7404
143.75,146.04431360633734,412.40076
143.75,146.0443136063372,419.3296
143.75,146.04431360633689,418.74857
143.75,146.0443136063372,409.22113
143.75,146.0443136063373,404.9259
143.75,146.0443136063372,399.93628
143.75,146.04431360633728,391.09894
143.75,146.0443136063371,391.09644
143.75,146.04431360633703,384.26334
143.75,146.04431360633697,189.55034
143.75,146.0443136063367,184.01157
143.75,146.04431360633674,176.24353
143.75,146.04431360633706,172.92877
143.75,146.04431360633706,172.76122
143.75,146.04431360633706,178.27487
143.75,146.044313606337,180.0371
143.75,146.0443136063373,182.39119
143.75,146.0443136063373,181.13878
143.75,146.0443136063373,181.81354
143.75,146.04431360633703,190.79443
143.75,146.04431360633697,192.13678
143.75,146.04431360633683,192.18243
143.75,146.04431360633683,190.8535
143.75,146.04431360633697,190.89085
143.75,146.04431360633671,189.54202
143.75,146.04431360633654,191.58418
143.75,146.04431360633646,193.79987
143.75,146.0443136063365,202.17023
143.75,146.04431360633632,198.78825
143.75,146.04431360633632,194.3387
143.75,146.04431360633603,188.04683
143.75,146.04431360633603,184.89055
143.75,146.04431360633575,183.71968
143.75,146.0443136063357,184.91591
143.75,146.04431360633538,182.16537
143.75,146.04431360633546,183.55553
143.75,146.04431360633566,184.236
143.75,146.0443136063357,185.62996
143.75,146.04431360633535,184.7215
