Date,BND,SPY,TSLA
2015-03-26,62.976261138916016,173.2282257080078,12.694000244140625
2015-03-27,63.036869049072266,173.62489318847656,12.333333015441895
2015-03-30,63.112613677978516,175.7430877685547,12.704667091369629
2015-03-31,63.180870056152344,174.2072296142578,12.584667205810547
2015-04-01,63.43225860595703,173.59115600585938,12.505999565124512
2015-04-02,63.34870910644531,174.2156219482422,12.733332633972168
2015-04-06,63.40190887451172,175.3886260986328,13.539999961853027
2015-04-07,63.439884185791016,174.92449951171875,13.550000190734863
2015-04-08,63.39431381225586,175.5152587890625,13.844667434692383
2015-04-09,63.2575798034668,176.29164123535156,14.005999565124512
2015-04-10,63.227169036865234,177.25369262695312,14.0600004196167
2015-04-13,63.242393493652344,176.45201110839844,13.985333442687988
2015-04-14,63.3563117980957,176.78953552246094,13.830666542053223
2015-04-15,63.41706848144531,177.58279418945312,13.85533332824707
2015-04-16,63.40190887451172,177.53219604492188,13.779999732971191
2015-04-17,63.50823211669922,175.4899444580078,13.78600025177002
2015-04-20,63.439884185791016,177.09339904785156,13.684666633605957
2015-04-21,63.363914489746094,176.8824005126953,13.96066665649414
2015-04-22,63.12842559814453,177.7516326904297,14.629332542419434
2015-04-23,63.249977111816406,178.1988067626953,14.573332786560059
2015-04-24,63.34870910644531,178.61236572265625,14.562000274658203
2015-04-27,63.30312728881836,177.8697509765625,15.436667442321777
2015-04-28,63.10563659667969,178.4351806640625,15.36533260345459
2015-04-29,62.90814971923828,177.70095825195312,15.49666690826416
2015-04-30,62.97655487060547,175.92034912109375,15.069999694824219
2015-05-01,62.7855110168457,177.82749938964844,15.0686674118042
2015-05-04,62.69414520263672,178.33389282226562,15.36733341217041
2015-05-05,62.59522247314453,176.29164123535156,15.529999732971191
2015-05-06,62.420204162597656,175.56591796875,15.362000465393066
2015-05-07,62.54961395263672,176.2663116455078,15.786666870117188
2015-05-08,62.71698760986328,178.5870819091797,15.77400016784668
2015-05-11,62.38975524902344,177.7346954345703,15.965999603271484
2015-05-12,62.31364822387695,177.2030487060547,16.31599998474121
